Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2014;9;Cu;0;1;62.11;65.3355;10056.535;2.438;151.468;4858.337;2181.684;307.783;1005.753;25.637;11219.00;517300.00;1685.40
2014;9;Cu;0;2;44.64;57.4868;9025.203;3.758;71.220;4955.790;1950.321;366.657;1006.468;26.293;11037.00;516530.00;1038.60
2014;9;Cu;2;1;68.86;67.9393;8891.766;3.820;100.973;4661.130;1877.745;309.815;897.195;22.179;10929.00;515650.00;1238.20
2014;9;Cu;2;2;60.41;58.0294;8964.647;2.140;98.674;4790.487;2020.921;329.993;950.566;24.430;11131.00;517660.00;1224.70
2014;9;Mg;0;1;64.08;68.1861;8509.099;3.758;91.386;5232.646;1759.791;287.359;966.565;22.615;11103.00;518940.00;1180.10
2014;9;Mg;0;2;52.45;57.3917;8204.847;3.144;143.147;5410.926;1912.253;349.748;947.389;24.266;10841.00;522620.00;965.90
2014;9;Mg;12;1;55.57;64.8695;9685.411;3.516;173.993;4702.537;2015.525;289.616;916.378;27.580;10277.00;518480.00;1116.20
2014;9;Mg;12;2;59.66;65.9706;9436.448;2.612;76.134;4858.833;2113.528;317.709;988.343;26.236;10670.00;516410.00;1095.40
2014;45;N;0;1;42.36;60.5658;7045.784;3.386;81.454;4387.911;1700.438;99.516;814.930;15.597;6988.40;522430.00;822.40
2014;45;N;0;2;37.01;40.9504;7942.847;1.564;99.483;4722.665;1892.106;99.448;980.731;13.326;6926.20;416060.00;592.00
2014;45;N;15;1;50.81;59.0402;9141.673;1.586;95.581;4395.240;1878.744;139.084;788.277;15.757;10043.00;655240.00;898.40
2014;45;N;15;2;31.28;49.1310;8852.379;1.873;61.972;4339.958;1976.844;147.817;878.170;15.605;9652.10;521640.00;910.10
2014;45;N;30;1;59.67;64.9579;9003.738;2.208;87.180;4068.248;1992.849;151.668;902.546;17.928;10071.00;522820.00;1322.70
2014;45;N;30;2;37.18;50.5162;8235.535;2.209;64.005;4774.927;1921.644;162.825;898.906;15.704;9978.60;514770.00;1153.50
2014;45;N;45;1;65.02;51.1786;7370.213;1.987;104.281;4853.141;1776.024;143.905;929.512;12.435;9718.60;520850.00;643.80
2014;45;N;45;2;39.44;53.8973;7439.724;1.999;99.012;4761.079;1871.653;164.701;923.522;15.229;11534.00;525790.00;977.50
2014;45;N;60;1;63.97;67.1959;8039.237;2.609;74.605;4923.218;1768.443;197.914;898.338;16.662;11914.00;525100.00;903.50
2014;45;N;60;2;47.93;58.4788;8038.387;2.164;77.741;4969.455;1948.545;235.998;965.602;15.709;11931.00;515740.00;1024.90
2014;45;P;0;1;61.21;61.5109;8115.515;1.949;87.634;4715.430;1977.596;171.585;847.701;17.000;11145.00;521650.00;852.60
2014;45;P;0;2;61.49;50.0109;7941.763;2.048;97.340;4397.804;1674.572;177.397;775.967;16.252;9659.50;511790.00;900.80
2014;45;P;15;1;65.38;67.3782;8683.345;5.197;193.028;5421.794;2083.664;175.172;974.971;5.730;10332.00;522540.00;2738.00
2014;45;P;15;2;58;58.5899;8647.252;4.562;117.474;5545.436;2366.311;178.118;1134.319;7.060;11048.00;528140.00;1142.10
2014;45;P;30;1;71.42;64.7667;9190.185;4.782;132.639;5301.312;2219.069;224.675;1114.556;6.590;10856.00;523970.00;907.80
2014;45;P;30;2;55.64;61.0734;8020.282;3.229;162.768;5531.047;2135.797;182.803;1082.250;2.262;12028.00;524370.00;1014.40
2014;45;K;0;1;61.82;68.1308;9169.952;3.409;127.113;4393.188;2290.486;207.933;977.100;6.096;10801.00;522730.00;742.90
2014;45;K;0;2;54.39;54.5415;9170.120;3.822;106.133;4463.756;2243.836;179.736;1045.163;5.464;11195.00;522970.00;648.00
2014;45;K;40;1;64.26;63.7338;8391.425;2.755;112.214;4719.844;2070.469;154.177;969.730;4.536;9690.60;522340.00;609.70
2014;45;K;40;2;40.34;39.7140;8058.421;3.280;112.313;4425.570;2130.561;150.310;999.587;9.254;9451.50;521630.00;758.60
2014;45;K;80;1;65.68;60.2863;8617.180;3.378;123.259;5375.996;2054.873;172.050;1030.149;13.256;9503.10;516620.00;956.10
2014;45;K;80;2;40.66;50.9489;7141.132;2.065;89.856;5681.773;1925.946;196.124;1025.482;4.096;11867.00;524770.00;1069.00
2014;45;K;120;1;56.98;72.5996;8447.218;3.138;326.367;5830.397;2099.823;248.782;1079.993;5.109;11815.00;528140.00;939.60
2014;45;K;120;2;60.18;57.7665;8231.064;3.482;103.286;6124.424;1978.360;194.605;1055.066;5.219;10997.00;527800.00;803.20
2014;45;B;0;1;53.14;37.4904;8223.043;2.281;91.325;4734.863;2254.698;166.760;1023.430;11.593;9542.20;528250.00;788.30
2014;45;B;0;2;54.62;23.6656;8690.755;2.254;95.527;5048.438;2137.092;235.487;980.330;3.521;11089.00;513620.00;1014.40
2014;45;B;1;1;68.29;68.0986;9061.445;3.060;118.212;5239.054;2290.127;155.061;1036.050;6.169;10254.00;515020.00;1022.90
2014;45;B;1;2;43.42;60.5548;8530.039;2.316;85.845;5390.334;2212.634;164.169;1087.427;5.390;10599.00;527500.00;1174.30
2014;45;Cu;0;1;66.19;61.1816;8513.462;2.374;107.998;5448.266;2045.903;189.843;1029.990;8.362;11257.00;534940.00;997.50
2014;45;Cu;0;2;58.5;56.0908;8100.014;2.137;140.137;4956.834;2078.456;139.846;1033.537;4.293;10682.00;524440.00;985.50
2014;45;Cu;2;1;70.56;52.5689;7698.087;2.172;92.733;5360.978;1960.228;172.354;1015.675;6.771;11314.00;524710.00;1092.10
2014;45;Cu;2;2;43.96;60.2970;7722.662;2.822;99.741;5814.110;2055.765;180.606;1085.097;2.969;11154.00;510010.00;791.00
2014;45;Mg;0;1;60.28;76.7211;8607.869;2.159;106.483;5656.699;2019.055;192.460;1020.428;4.577;9937.50;465940.00;588.40
2014;45;Mg;0;2;56.54;57.9908;8762.685;2.270;74.219;5111.276;1933.513;222.404;976.103;3.532;11013.00;518810.00;713.40
2014;45;Mg;12;1;71.44;73.1596;8559.953;2.357;81.637;5015.887;2233.045;194.023;1010.058;7.502;10713.00;520980.00;656.10
2014;45;Mg;12;2;51.71;62.0398;8388.328;2.356;75.792;5088.190;2049.873;160.863;999.899;2.795;10838.00;519470.00;793.90
2015;A9;N;0;1;10.22;98.75;5185.456;1.079;113.193;4125.595;1531.911;199.727;814.202;81.246;6247.90;501880.00;389.60
2015;A9;N;0;2;9.74;74.21;5035.613;0.863;74.103;3865.378;1706.928;169.418;847.540;81.542;6825.00;500970.00;275.00
2015;A9;N;15;1;14.5;95.76;5160.181;1.258;146.092;4008.208;1788.897;154.736;810.889;61.150;8366.90;507850.00;697.60
2015;A9;N;15;2;13.03;75.70;4833.962;0.804;53.579;3965.921;1797.942;169.373;827.052;82.994;8525.10;509120.00;797.10
2015;A9;N;30;1;20.27;80.44;5767.259;1.351;64.645;3647.418;1924.120;201.747;804.388;75.353;9006.70;501600.00;696.30
2015;A9;N;30;2;22.22;62.37;5286.889;1.255;34.768;3638.067;1987.811;164.848;842.776;92.510;10367.00;507580.00;751.00
2015;A9;N;45;1;25.47;75.64;5473.421;2.022;52.584;3797.327;1955.209;204.699;824.742;93.247;10988.00;504810.00;652.70
2015;A9;N;45;2;19.2;63.72;5170.082;1.376;103.210;3506.385;1841.465;174.705;850.867;72.467;11370.00;507230.00;733.30
2015;A9;N;60;1;38.86;60.98;5100.932;1.863;87.653;4087.073;1828.742;162.249;924.271;79.489;13253.00;506350.00;1058.90
2015;A9;P;0;1;27.9;62.02;4977.018;1.096;71.110;3824.970;1886.856;187.528;787.399;88.183;10991.00;510240.00;864.30
2015;A9;P;0;2;22.6;62.67;4959.746;1.339;68.214;3628.703;1911.220;151.602;810.015;91.472;10993.00;513440.00;830.40
2015;A9;P;15;1;41.97;78.10;4830.122;0.709;115.195;4025.968;1883.602;150.009;821.200;78.015;11193.00;513210.00;831.60
2015;A9;P;15;2;23.93;61.01;4981.343;0.998;70.771;3406.346;1918.113;143.002;857.394;75.058;12021.00;511000.00;1162.70
